Symbol,index,uuid,title,publisher,link,providerPublishTime,type,thumbnail,relatedTickers
TSN,0,e6c3f0c0-fd83-3783-915e-e5920ca58045,Here's Why COTY Looks Well-Poised for Earnings Beat in Q3,Zacks,https://finance.yahoo.com/news/heres-why-coty-looks-well-163204574.html,1683304324,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/v.rSvk18_vsS0.QIhzEKyg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/ae2efdec32dab8c7bab0c30d4ef9c23a', 'width': 635, 'height': 400, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/lQjw.yqZBB9rC1UiUYZkPQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/zacks.com/ae2efdec32dab8c7bab0c30d4ef9c23a', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['COTY', 'TSN', 'THS']"
TSN,1,f6e56c88-65a8-36ee-8942-ff3862623fed,Here's How Inter Parfums (IPAR) is Placed Ahead of Q1 Earnings,Zacks,https://finance.yahoo.com/news/heres-inter-parfums-ipar-placed-163004722.html,1683304204,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/tSNt_3vJvuZv1Ihzp1YrZg--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/2574bb59e00af597939c95c630d04bca', 'width': 900, 'height': 600, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/P1RWFyMj6o.FAEhjMluBVg--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/zacks.com/2574bb59e00af597939c95c630d04bca', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['IPAR', 'TSN', 'MCK']"
TSN,2,8821cb7b-3622-33b2-8451-1379e265bcf5,Tyson Foods (TSN) Queued for Q2 Earnings: Things to Consider,Zacks,https://finance.yahoo.com/news/tyson-foods-tsn-queued-q2-175805773.html,1683223085,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/U1FYSsVrcdJj.5vd97Ozaw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/2ea9b45de69c73834b0ecfc072d9454a', 'width': 635, 'height': 400, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/cvRMqTVDmKR3EhhHYW1LYQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/zacks.com/2ea9b45de69c73834b0ecfc072d9454a', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['TSN', 'THS']"
TSN,3,1163d234-3057-37e5-86a6-2ac359ecef43,10 Cheap Food Stocks to Buy,Insider Monkey,https://finance.yahoo.com/news/10-cheap-food-stocks-buy-130727730.html,1683205647,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/gQWgVxHJljnlDLQmW_hwwg--~B/aD0xMzcyO3c9MTkyMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/insidermonkey.com/ebb323e227fc4b041e697432733aba87', 'width': 1920, 'height': 1372, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/crlLhW0cc4Kr6WRSr_t8Wg--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/insidermonkey.com/ebb323e227fc4b041e697432733aba87', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['KHC', 'MDLZ', 'PFGC', 'AGRO', 'KO', 'ADM', 'TSN']"
TSN,4,bcaf152e-1bbb-3814-89b7-9b82e8209d15,Shrinking US cattle herd squeezes meatpacker profits,Reuters,https://finance.yahoo.com/news/shrinking-us-cattle-herd-squeezes-101906021.html,1683195546,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/ln6y42xWP.Dzat_Q3ytQjA--~B/aD01NTA7dz04MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/reuters-finance.com/18d259b679952bb4dfd87217644aaa69', 'width': 800, 'height': 550, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/.Rb.NYqsMI4j1sOVeAornQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/reuters-finance.com/18d259b679952bb4dfd87217644aaa69', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['FC=F', 'LC=F', 'TSN']"
TSN,5,107238ff-07e0-33b7-b529-328865435ec5,FOCUS-Shrinking US cattle herd squeezes meatpacker profits,Reuters,https://finance.yahoo.com/news/focus-shrinking-us-cattle-herd-100000041.html,1683194400,STORY,,"['FC=F', 'LC=F', 'TSN']"
TSN,6,b6ce3ed2-261d-36ce-8ee7-6483ea857bcf,"Tyson Foods Honored for Programs Focused on Communities, Environmental Achievement and Diversity, Equity & Inclusion",GlobeNewswire,https://finance.yahoo.com/news/tyson-foods-honored-programs-focused-153000074.html,1683127800,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/AGaMGXhLT.H33z30Hy.yNg--~B/aD0xNzkwO3c9MTg0MDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/globenewswire.com/72f43a40e3a2054b394783d5502be378', 'width': 1840, 'height': 1790, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/WqfkduZ7dPb8T5TPPZ4WQQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/72f43a40e3a2054b394783d5502be378', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['TSN']
TSN,7,32eb9efb-81a6-358d-bbcd-7ac2890051c1,Are Investors Undervaluing Pilgrim's Pride (PPC) Right Now?,Zacks,https://finance.yahoo.com/news/investors-undervaluing-pilgrims-pride-ppc-134001944.html,1683034801,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/5w_iAw5naBqMPrzpIECi9Q--~B/aD02NzU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/670d1917693293f70179651625deb88f', 'width': 900, 'height': 675, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/82vTT3Qpw8CPaF_PJ7Ek7w--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/zacks.com/670d1917693293f70179651625deb88f', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['TSN', 'PPC']"
