Symbol,index,uuid,title,publisher,link,providerPublishTime,type,relatedTickers,thumbnail
TCEHY,0,7cf45d80-1341-3ad8-b125-49cc2e1f7862,"Ping An, Baidu, Tencent push Hong Kong stocks to best week since March on US rate-cut bets amid bank crisis",South China Morning Post,https://finance.yahoo.com/news/ping-baidu-tencent-push-hong-093000412.html,1683279000,STORY,"['^HSI', 'BIDU', 'TCEHY']",
TCEHY,1,826093b1-8371-35d4-8d11-6ee99adf3a80,10 Biggest Chinese Companies,Investopedia,https://finance.yahoo.com/m/826093b1-8371-35d4-8d11-6ee99adf3a80/10-biggest-chinese-companies.html,1683130401,STORY,"['PNGAY', 'TCEHY']","{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/USneaawC0_pZzA8.UwICDw--~B/aD0yMDA7dz0xNDc7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/investopedia.com/c4595e7c046611f7d98da8650429252c', 'width': 147, 'height': 200, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/MlqzXtMvRvb15WRWXnjU4A--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/investopedia.com/c4595e7c046611f7d98da8650429252c', 'width': 140, 'height': 140, 'tag': '140x140'}]}"
TCEHY,2,652a0f44-e4ac-3185-b16e-c9af9eadc323,Tencent-backed fintech start-up Airwallex's first-quarter revenue gets a boost from revival in travel,South China Morning Post,https://finance.yahoo.com/news/tencent-backed-fintech-start-airwallexs-093000451.html,1683106200,STORY,['TCEHY'],
TCEHY,3,b5884f4c-c4c9-3405-b3d2-fedf1d88e09a,Alibaba’s Faded Rally Signals Grim Outlook Ahead,Bloomberg,https://finance.yahoo.com/news/alibaba-faded-rally-signals-grim-020004746.html,1683034709,STORY,"['BABA', 'TCEHY', 'MSTR']","{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/_0Vd8yOOkpplfgQ0Q9CI.Q--~B/aD02NzU7dz0xMjAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/bloomberg_markets_842/48639bb9eb9ffc7487f77b0765008f05', 'width': 1200, 'height': 675, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/kdyTyusuxZMdxsUL3T25Ug--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/bloomberg_markets_842/48639bb9eb9ffc7487f77b0765008f05', 'width': 140, 'height': 140, 'tag': '140x140'}]}"
TCEHY,4,8eae10ad-9c96-3b66-9cde-ccdd3755f26d,Mihoyo's new video game tops download charts as big launches return to China,Reuters,https://finance.yahoo.com/news/mihoyos-video-game-tops-download-054805000.html,1682660885,STORY,['TCEHY'],
TCEHY,5,7a8c4d25-2d10-3819-b105-230bb518acdb,"Tencent Chases European Gaming Studios In Quest For Growth After Domestic Regulators, US Disappoint",Benzinga,https://finance.yahoo.com/news/tencent-chases-european-gaming-studios-133057625.html,1682515857,STORY,['TCEHY'],"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/QUlcV7HSFbsZEkVNrgLglQ--~B/aD00NTA7dz04MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/60836271f35c42ad8950a9b4a49c6571', 'width': 800, 'height': 450, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/7ovFs63f1G3EPbGAqhcDcw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Benzinga/60836271f35c42ad8950a9b4a49c6571', 'width': 140, 'height': 140, 'tag': '140x140'}]}"
TCEHY,6,df9d1e6a-41a7-3149-ba1a-a3ad05fd70b3,Alibaba Cuts Cloud Prices to Spur Growth Before Possible IPO,Bloomberg,https://finance.yahoo.com/news/alibaba-cuts-cloud-prices-spur-050547927.html,1682485547,STORY,"['BABA', 'TCEHY']","{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/7kHxKS1dM2OzFvaw3Bm86g--~B/aD02NzU7dz0xMjAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/bloomberg_markets_842/2ada07b0c3921a363042b749e9c0fc24', 'width': 1200, 'height': 675, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/KUYtZ_gcnc3BKa2AfBfTWA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/bloomberg_markets_842/2ada07b0c3921a363042b749e9c0fc24', 'width': 140, 'height': 140, 'tag': '140x140'}]}"
TCEHY,7,9cb61338-6047-3781-8193-f2b2b9c633f4,Tencent accelerates investment in overseas gaming studios,Financial Times,https://finance.yahoo.com/m/9cb61338-6047-3781-8193-f2b2b9c633f4/tencent-accelerates.html,1682482530,STORY,['TCEHY'],
