Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
MET,2022-04-29 00:00:00-04:00,65.462195803792,66.1031212922383,63.53940452056576,63.78218078613281,3872900,0.0,0.0
MET,2022-05-02 00:00:00-04:00,64.2386102211947,64.57849555813277,63.0053024728048,64.22889709472656,3255000,0.0,0.0
MET,2022-05-03 00:00:00-04:00,64.42312010607215,65.4330704767383,64.0443896431905,64.7144546508789,3623200,0.0,0.0
MET,2022-05-04 00:00:00-04:00,64.6367627210656,66.68579538024706,64.4522577626418,66.33619689941406,3823300,0.0,0.0
MET,2022-05-05 00:00:00-04:00,65.29710927622618,67.49180902551723,64.64647059326354,65.54959869384766,4689200,0.0,0.0
MET,2022-05-06 00:00:00-04:00,65.59816069752355,65.77295993380895,64.47167508391873,65.58844757080078,4833600,0.0,0.0
MET,2022-05-09 00:00:00-04:00,65.14817743886663,65.72540653128598,63.954599374114174,64.21875,7275800,0.5,0.0
MET,2022-05-10 00:00:00-04:00,64.66879266959546,65.5982276239761,62.87841427732078,63.40672302246094,5521400,0.0,0.0
MET,2022-05-11 00:00:00-04:00,63.61218139135347,64.87425116173522,62.663190135363415,62.73167419433594,5219000,0.0,0.0
MET,2022-05-12 00:00:00-04:00,62.663182688968675,62.712095602877994,60.090123070042765,61.5478630065918,6862500,0.0,0.0
MET,2022-05-13 00:00:00-04:00,61.929420892044654,62.643614406215896,61.45981435116908,62.04682159423828,4477700,0.0,0.0
MET,2022-05-16 00:00:00-04:00,61.91964360270996,62.6240553318069,61.43046962019293,62.242496490478516,4237300,0.0,0.0
MET,2022-05-17 00:00:00-04:00,63.39694749465905,64.02308955933995,63.15236051738676,63.582828521728516,4562500,0.0,0.0
MET,2022-05-18 00:00:00-04:00,63.18170644419446,63.20127011710045,61.606565796098494,61.9489860534668,5096500,0.0,0.0
MET,2022-05-19 00:00:00-04:00,61.05869094057602,62.222923572295,60.471683706386834,61.03912353515625,4455700,0.0,0.0
MET,2022-05-20 00:00:00-04:00,61.24457634066358,61.89028579793086,59.52268569865117,60.706485748291016,5405400,0.0,0.0
MET,2022-05-23 00:00:00-04:00,61.6359183181164,63.00560688469276,61.508732044852614,62.56534957885742,4983900,0.0,0.0
MET,2022-05-24 00:00:00-04:00,62.42838026504927,62.7512331283701,61.019556913537215,62.496864318847656,3738800,0.0,0.0
MET,2022-05-25 00:00:00-04:00,62.17401029033774,63.6610995938291,62.17401029033774,63.20127487182617,5900800,0.0,0.0
MET,2022-05-26 00:00:00-04:00,64.21875199065492,65.58844046739087,64.16005350846108,65.46125793457031,6343000,0.0,0.0
MET,2022-05-27 00:00:00-04:00,65.4612637082132,66.46896088382809,65.2851607818978,66.25372314453125,4197500,0.0,0.0
