Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
CLX,2022-04-29 00:00:00-04:00,142.3755237591302,142.56923060763273,138.61785029785653,138.94712829589844,2505400,0.0,0.0
CLX,2022-05-02 00:00:00-04:00,138.92777684269714,140.90347470198927,136.95209376116514,138.7631378173828,1909300,0.0,0.0
CLX,2022-05-03 00:00:00-04:00,137.38788257891403,146.89830067426453,137.1070312933334,142.90818786621094,2859200,0.0,0.0
CLX,2022-05-04 00:00:00-04:00,142.07530859376953,146.772419215263,141.92034901542448,144.91294860839844,1770400,0.0,0.0
CLX,2022-05-05 00:00:00-04:00,143.8669817874427,145.51338653309762,141.96876405325023,143.59580993652344,1331400,0.0,0.0
CLX,2022-05-06 00:00:00-04:00,144.04130462700132,149.5422511521799,143.86698619368187,149.08706665039062,1912500,0.0,0.0
CLX,2022-05-09 00:00:00-04:00,148.82559454071588,155.52744170662595,148.7190616687794,152.46705627441406,2951700,0.0,0.0
CLX,2022-05-10 00:00:00-04:00,152.06028005052664,153.67763179970228,150.27828929694178,151.30487060546875,1880900,0.0,0.0
CLX,2022-05-11 00:00:00-04:00,151.43077054313963,153.19338757930362,149.69720657839125,149.97805786132812,1055000,0.0,0.0
CLX,2022-05-12 00:00:00-04:00,150.71411249919655,152.76729006203988,149.69722531684502,152.0796661376953,1093900,0.0,0.0
CLX,2022-05-13 00:00:00-04:00,152.0893381237289,153.95850293455206,150.57851918393908,153.29025268554688,1199400,0.0,0.0
CLX,2022-05-16 00:00:00-04:00,152.76727405593874,153.37740334587184,150.34608620352424,152.13775634765625,1267600,0.0,0.0
CLX,2022-05-17 00:00:00-04:00,151.96344651646342,152.63169676599284,149.46477873802058,151.80848693847656,939700,0.0,0.0
CLX,2022-05-18 00:00:00-04:00,150.54945287918525,150.70441244343183,140.80659563798184,141.23272705078125,1742700,0.0,0.0
CLX,2022-05-19 00:00:00-04:00,139.28609719164473,139.28609719164473,133.13627434183826,133.79483032226562,2385900,0.0,0.0
CLX,2022-05-20 00:00:00-04:00,133.47524534281493,134.57930636543574,128.76845576685102,133.9401092529297,1659500,0.0,0.0
CLX,2022-05-23 00:00:00-04:00,134.66646780589863,136.1094862706582,132.2259063763403,135.18943786621094,962600,0.0,0.0
CLX,2022-05-24 00:00:00-04:00,135.02482455988923,137.42663916624477,134.53090747685653,137.1361083984375,1235800,0.0,0.0
CLX,2022-05-25 00:00:00-04:00,136.45815359473877,138.24983867607529,135.43157221839817,137.6106414794922,1049900,0.0,0.0
CLX,2022-05-26 00:00:00-04:00,138.66626827988577,143.09220691710956,138.4919498419402,141.78475952148438,1142100,0.0,0.0
CLX,2022-05-27 00:00:00-04:00,142.55953524421105,144.04130100115918,141.6879135440384,144.02194213867188,801000,0.0,0.0
CLX,2022-05-31 00:00:00-04:00,143.36338441512424,143.50864978578517,140.31269340917294,140.77755737304688,1558500,0.0,0.0
CLX,2022-06-01 00:00:00-04:00,140.6128930526211,140.6128930526211,134.7536161204634,136.26443481445312,1227000,0.0,0.0
CLX,2022-06-02 00:00:00-04:00,136.12887855265785,136.9423942146635,132.29372484448297,136.86492919921875,934200,0.0,0.0
CLX,2022-06-03 00:00:00-04:00,136.04171840131534,136.70027447243152,133.57210357911086,134.50184631347656,1317400,0.0,0.0
CLX,2022-06-06 00:00:00-04:00,134.18224036691095,134.5308920259974,132.6714214367892,132.71983337402344,923500,0.0,0.0
