Symbol,index,uuid,title,publisher,link,providerPublishTime,type,thumbnail,relatedTickers
GOOG,0,62d95968-26ec-3442-be6a-079ed343c9d3,10 Most Profitable Businesses With Least Investment in 2023,Insider Monkey,https://finance.yahoo.com/news/10-most-profitable-businesses-least-012734461.html,1682645254,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/SNC9hXMcrNYQ99Gesz0aNw--~B/aD01NjU7dz04NDc7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/b758b161bcf8b92bb36d6b59ba2aa853', 'width': 847, 'height': 565, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/DUdpJfjGqA_9WoDrvGUCVw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/insidermonkey.com/b758b161bcf8b92bb36d6b59ba2aa853', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['GOOGL']
GOOG,1,364d5089-6664-47dd-a00e-266d80e73010,Amazon stock forfeits gains after company warns on 'optimizations' from AWS customers,Yahoo Finance,https://finance.yahoo.com/news/amazon-stock-forfeits-gains-after-company-warns-on-optimizations-from-aws-customers-235944403.html,1682639984,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/GCynSDLhfFBZ8HlYx39z4w--~B/aD0zMjc0O3c9NDc1ODthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2022-11/b1c29f20-6b49-11ed-a77e-65168ff169ed', 'width': 4758, 'height': 3274, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/01vaOzNph.D.AkGrDXLxtA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://s.yimg.com/os/creatr-uploaded-images/2022-11/b1c29f20-6b49-11ed-a77e-65168ff169ed', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['MSFT', 'GOOG', 'GOOGL', 'AMZN', 'META']"
GOOG,2,3a8a8ac3-4667-335b-91ce-7db54c397ece,Canada’s Contentious Streaming Legislation Receives Final Approval,The Wall Street Journal,https://finance.yahoo.com/m/3a8a8ac3-4667-335b-91ce-7db54c397ece/canada%E2%80%99s-contentious.html,1682635020,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/3hcpS4ZTZgO4mC0CVc3fKQ--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/wsj.com/3807562e22cf55274318405fbc933b94', 'width': 1280, 'height': 640, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/xNn6AubIrRv5nkUBfrNMHg--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/wsj.com/3807562e22cf55274318405fbc933b94', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['NFLX', 'GOOG', 'GOOGL', 'DIS']"
GOOG,3,a3af3ee6-2180-3621-969c-5ed90c191b71,"Google, Microsoft both tout AI advances to improve search",Fox Business,https://finance.yahoo.com/news/google-microsoft-both-tout-ai-223239620.html,1682634759,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/chXvOYlT6cvXB9necsdv7Q--~B/aD03MjA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/fox_business_text_367/e766818aba56c398015458d878fe1c28', 'width': 1280, 'height': 720, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/AeJNH817pvbI4BtZ.P8JoQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/fox_business_text_367/e766818aba56c398015458d878fe1c28', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['GOOGL', 'MSFT']"
GOOG,4,af08b974-36e6-32b6-b0c7-c9832ce69934,Nasdaq Leads Stocks Higher After Strong Tech Earnings,The Wall Street Journal,https://finance.yahoo.com/m/af08b974-36e6-32b6-b0c7-c9832ce69934/nasdaq-leads-stocks-higher.html,1682630220,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/.kWy19QPh5oLUfTBllktgw--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/wsj.com/11f960ac2b6b85e6249c59d67c88f4c7', 'width': 1280, 'height': 640, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/v9k9JaVJQg1LK983oT2XGA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/wsj.com/11f960ac2b6b85e6249c59d67c88f4c7', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['GOOG', 'GOOGL']"
GOOG,5,4524e574-7514-375f-a78c-e4c3072a7ab9,15 Largest PC Companies in the World,Insider Monkey,https://finance.yahoo.com/news/15-largest-pc-companies-world-194010453.html,1682624410,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/Hq2W8UkDFmXfDUxkuwEJHw--~B/aD01MTI7dz03Njg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/aa7593c73f8f5664f0e6334c0457b54f', 'width': 768, 'height': 512, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/iRlis8EqAFYLh3j9d0G5kQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/insidermonkey.com/aa7593c73f8f5664f0e6334c0457b54f', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['HPQ', 'LNVGY', 'DELL', 'PCRFY', 'IBM', 'CRSR', 'AAPL', 'GOOGL']"
GOOG,6,cfcedab4-b270-3305-b519-99bc7d67e92f,"Tesla Stock, 6 Other Tech Titans Are Responsible For 86% Of S&P 500's 2023 Performance",Investor's Business Daily,https://finance.yahoo.com/m/cfcedab4-b270-3305-b519-99bc7d67e92f/tesla-stock%2C-6-other-tech.html,1682620287,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/36tSiYyqLGym4ya69T5QrA--~B/aD01NjM7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/cb2d3899c5946ae1c5dbe2a5dab5c743', 'width': 1000, 'height': 563, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/XG25lQXPj.AHdc16a5z0aA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/cb2d3899c5946ae1c5dbe2a5dab5c743', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['^GSPC', 'TSLA', 'NVDA', 'META', 'MSFT', 'GOOGL']"
GOOG,7,0cd7dae8-b5e5-3321-9cf1-5ca39a9fac79,Why Alphabet Stock Rallied Thursday Morning,Motley Fool,https://finance.yahoo.com/m/0cd7dae8-b5e5-3321-9cf1-5ca39a9fac79/why-alphabet-stock-rallied.html,1682619585,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/VTtVpTP3be2h3owrjnXYGw--~B/aD0xNDE0O3c9MjEyMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/2a0c9b469d6bad9ae1dde90cc07f3eeb', 'width': 2120, 'height': 1414, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/I24miONHu93cQfPjt32KgA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/2a0c9b469d6bad9ae1dde90cc07f3eeb', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['GOOGL', 'META', 'ROKU']"
