Symbol,index,uuid,title,publisher,link,providerPublishTime,type,thumbnail,relatedTickers
NOK,0,c19b86bb-f18c-3ce6-9685-ee920ae4d91f,Nokia Corporation: Repurchase of own shares on 28.04.2023,GlobeNewswire,https://finance.yahoo.com/news/nokia-corporation-repurchase-own-shares-180000587.html,1682704800,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/ldoYp3vw0iVDNgnyg1kffg--~B/aD01NDI7dz0yNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/98b8b468b18007ac513079ef85be8bcf', 'width': 2400, 'height': 542, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/OtatGGC0ylCh.vHHkcMifA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/98b8b468b18007ac513079ef85be8bcf', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['NOK']
NOK,1,1dfab3e3-8dbe-3664-b103-ae00507495fc,Nokia Corporation: Repurchase of own shares on 27.04.2023,GlobeNewswire,https://finance.yahoo.com/news/nokia-corporation-repurchase-own-shares-180000178.html,1682618400,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/ldoYp3vw0iVDNgnyg1kffg--~B/aD01NDI7dz0yNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/98b8b468b18007ac513079ef85be8bcf', 'width': 2400, 'height': 542, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/OtatGGC0ylCh.vHHkcMifA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/98b8b468b18007ac513079ef85be8bcf', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['NOK']
NOK,2,4b22185c-e404-3b4b-a6f9-8c00ddbe2198,Telco operators eager to open networks to create software tools that monetize 5G networks - research,GlobeNewswire,https://finance.yahoo.com/news/telco-operators-eager-open-networks-050000018.html,1682571600,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/ldoYp3vw0iVDNgnyg1kffg--~B/aD01NDI7dz0yNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/98b8b468b18007ac513079ef85be8bcf', 'width': 2400, 'height': 542, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/OtatGGC0ylCh.vHHkcMifA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/98b8b468b18007ac513079ef85be8bcf', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['NOK']
NOK,3,6972c620-5f25-3661-a535-ad46186ba36a,Nokia Corporation: Repurchase of own shares on 26.04.2023,GlobeNewswire,https://finance.yahoo.com/news/nokia-corporation-repurchase-own-shares-180000720.html,1682532000,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/ldoYp3vw0iVDNgnyg1kffg--~B/aD01NDI7dz0yNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/98b8b468b18007ac513079ef85be8bcf', 'width': 2400, 'height': 542, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/OtatGGC0ylCh.vHHkcMifA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/98b8b468b18007ac513079ef85be8bcf', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['NOK']
NOK,4,ad76c7d1-3d73-3f55-8a17-ff2b34be4fa0,Nokia Corporation: Repurchase of own shares on 25.04.2023,GlobeNewswire,https://finance.yahoo.com/news/nokia-corporation-repurchase-own-shares-180000262.html,1682445600,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/ldoYp3vw0iVDNgnyg1kffg--~B/aD01NDI7dz0yNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/98b8b468b18007ac513079ef85be8bcf', 'width': 2400, 'height': 542, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/OtatGGC0ylCh.vHHkcMifA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/98b8b468b18007ac513079ef85be8bcf', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['NOK']
NOK,5,872fb458-12fe-3123-a039-ecf50fd0d012,Nokia (NOK) Moves to Buy: Rationale Behind the Upgrade,Zacks,https://finance.yahoo.com/news/nokia-nok-moves-buy-rationale-160004496.html,1682438404,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/xopQugjeNyS1VO21qlHkcQ--~B/aD02NzU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/3cb5117fc22f5e37890d1860dcd61f9f', 'width': 900, 'height': 675, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/rm3.DEH2cLu6ucaTWn4tQA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/zacks.com/3cb5117fc22f5e37890d1860dcd61f9f', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['NOKIA.HE']
NOK,6,189a2743-ffc6-30cf-ad5c-9e771455a65b,Nokia Corporation - Managers' transactions (Uitto),GlobeNewswire,https://finance.yahoo.com/news/nokia-corporation-managers-transactions-uitto-160000866.html,1682438400,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/ldoYp3vw0iVDNgnyg1kffg--~B/aD01NDI7dz0yNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/98b8b468b18007ac513079ef85be8bcf', 'width': 2400, 'height': 542, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/OtatGGC0ylCh.vHHkcMifA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/98b8b468b18007ac513079ef85be8bcf', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['NOK']
NOK,7,dfc95217-76f1-3903-8abb-4b94d4489552,Nokia Corporation - Managers' transactions (Corker),GlobeNewswire,https://finance.yahoo.com/news/nokia-corporation-managers-transactions-corker-160000529.html,1682438400,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/ldoYp3vw0iVDNgnyg1kffg--~B/aD01NDI7dz0yNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/98b8b468b18007ac513079ef85be8bcf', 'width': 2400, 'height': 542, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/OtatGGC0ylCh.vHHkcMifA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/98b8b468b18007ac513079ef85be8bcf', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['NOK']
