Symbol,index,uuid,title,publisher,link,providerPublishTime,type,thumbnail,relatedTickers
ADBE,0,0a29c8f1-7bd8-3104-b390-c51f4e9b2f29,Adobe Systems (ADBE) Outpaces Stock Market Gains: What You Should Know,Zacks,https://finance.yahoo.com/news/adobe-systems-adbe-outpaces-stock-214509614.html,1682718309,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/OL7xfT5pzuzwP2wxb1pcSw--~B/aD02MjU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/7ea641b46fe75c0a913349e5e610d6a2', 'width': 900, 'height': 625, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/b9rAc1dD4ZmWarIFuNIcGw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/zacks.com/7ea641b46fe75c0a913349e5e610d6a2', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['ADBE']
ADBE,1,34fcbc2b-4778-355c-8ae8-21f28a86c73e,Are You a Growth Investor? This 1 Stock Could Be the Perfect Pick,Zacks,https://finance.yahoo.com/news/growth-investor-1-stock-could-134501487.html,1682689501,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/e0VWXB5.wUFiKGuJPPpLzg--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/a7cdcede0bb5a646be035f4a7e678781', 'width': 900, 'height': 600, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/p7XlvorZm6LARMpstyEGHA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/zacks.com/a7cdcede0bb5a646be035f4a7e678781', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['ADBE']
ADBE,2,f5d6051d-48b6-3ce3-b6d8-71d805c0ee59,3 High-Growth Stocks That Could Be Worth $1 Trillion in 10 Years -- or Sooner,Motley Fool,https://finance.yahoo.com/m/f5d6051d-48b6-3ce3-b6d8-71d805c0ee59/3-high-growth-stocks-that.html,1682673840,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/wj4afk139GTYS.Th9n.qDA--~B/aD0xNDY4O3c9MjA0MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/80ec71cdb323e203b1ed8b2a721830b6', 'width': 2041, 'height': 1468, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/Wl.PB0oQCcAxhNQ8kC7clA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/80ec71cdb323e203b1ed8b2a721830b6', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['ADBE', 'V', 'ASML', 'MA']"
ADBE,3,9bc12659-fdff-38b9-8b83-17006b6328a4,AI Will Drive Adobe's Growth,GuruFocus.com,https://finance.yahoo.com/news/ai-drive-adobes-growth-091602742.html,1682673362,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/HYTF1B07WAyqaiYrlMEKNA--~B/aD0zNjY7dz01NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/us.finance.gurufocus/73c17fc83ac0a1a2abd5a3c9b021404c', 'width': 550, 'height': 366, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/KF5tykJM6rRCo0q3Y7Iozg--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/us.finance.gurufocus/73c17fc83ac0a1a2abd5a3c9b021404c', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['ADBE']
ADBE,4,6288e544-50af-350a-9faa-48db9c420ece,10 Most Promising AI Stocks,Insider Monkey,https://finance.yahoo.com/news/10-most-promising-ai-stocks-164116969.html,1682613676,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/iyCAEUcVIfefu4M0txjNrg--~B/aD0xNDQwO3c9MTkyMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/insidermonkey.com/9fea791571ceb7865c772a2bc987ac30', 'width': 1920, 'height': 1440, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/EHiBN1jbW6N3NbV3lDndxA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/insidermonkey.com/9fea791571ceb7865c772a2bc987ac30', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['ADBE', 'GOOGL', 'BABA', 'AMST', 'BIDU']"
ADBE,5,8559c2e2-0957-3167-b850-cce58bbff0c8,"CACI Q3 Earnings and Revenues Surpass Estimates, Up Y/Y",Zacks,https://finance.yahoo.com/news/caci-q3-earnings-revenues-surpass-111011497.html,1682593811,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/QOfludHza1dTKV8R6Coeiw--~B/aD02MDE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/48ad4265c55e3ba7a1fb9148d6e717d9', 'width': 900, 'height': 601, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/syGPuhdcxJrEtuZed80ilQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/zacks.com/48ad4265c55e3ba7a1fb9148d6e717d9', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['CACI', 'ADBE']"
ADBE,6,f36f3761-607e-3ac3-a6d1-88ae81dee6c3,2 High-Conviction Growth Stocks Billionaire Ken Griffin Is Buying Hand Over Fist,Motley Fool,https://finance.yahoo.com/m/f36f3761-607e-3ac3-a6d1-88ae81dee6c3/2-high-conviction-growth.html,1682588940,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/NVD1bN0cd5gv7tFE_lu0Sg--~B/aD0xNDE0O3c9MjEyMTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/9968aec39b48a19f019e9dc1ba2805e5', 'width': 2121, 'height': 1414, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/K8hbkXEClGUyT_Jh.TYlXA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/9968aec39b48a19f019e9dc1ba2805e5', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['PYPL', 'ADBE']"
ADBE,7,d30d2334-b166-3b30-aa63-011d5f62aa2d,Adobe Is 1 of the Best Stocks to Buy When Headed Into a Bull Market,Motley Fool,https://finance.yahoo.com/m/d30d2334-b166-3b30-aa63-011d5f62aa2d/adobe-is-1-of-the-best-stocks.html,1682507820,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/S5Z27batfw6FBEaMBPfCjg--~B/aD0xNDE0O3c9MjEyMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/127aebbc03116474d055a331f98718c5', 'width': 2120, 'height': 1414, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/KnQcRDmXNPckazR0fcqgPg--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/127aebbc03116474d055a331f98718c5', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['ADBE']
