Symbol,index,uuid,title,publisher,link,providerPublishTime,type,relatedTickers,thumbnail
FOXA,0,a22878c0-d0b0-350b-b533-30024325f2e5,UPDATE 1-Biden attacks news outlets for 'lies of conspiracy and malice',Reuters,https://finance.yahoo.com/news/1-biden-attacks-news-outlets-045232321.html,1682830352,STORY,['FOXA'],
FOXA,1,db55517d-ee96-3a62-a328-768539a80633,CORRECTED-Biden attacks news outlets for 'lies of conspiracy and malice',Reuters,https://finance.yahoo.com/news/biden-attacks-news-outlets-lies-034720512.html,1682826440,STORY,['FOXA'],
FOXA,2,e297c2b6-5af8-31f1-a76c-39b499227a04,"Meta Platforms, First Republic, Bed Bath & Beyond: Stocks That Defined the Week",The Wall Street Journal,https://finance.yahoo.com/m/e297c2b6-5af8-31f1-a76c-39b499227a04/meta-platforms%2C-first.html,1682718780,STORY,"['BBBY', 'FOX', 'FOXA', 'META']","{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/tG_da98zzCmk1.y2Wn3nWQ--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/wsj.com/affcd8f2acd2ffb934ec93a2c7856dfc', 'width': 1280, 'height': 640, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/xCt7fSvj9GPisj2hDwsAIw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/wsj.com/affcd8f2acd2ffb934ec93a2c7856dfc', 'width': 140, 'height': 140, 'tag': '140x140'}]}"
FOXA,3,6594f32f-cb37-31d8-a169-e3d2a81edee1,Fox News Has a Major Problem After Dismissing Tucker Carlson,TheStreet.com,https://finance.yahoo.com/m/6594f32f-cb37-31d8-a169-e3d2a81edee1/fox-news-has-a-major-problem.html,1682704740,STORY,['FOXA'],"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/1MIUVMRuPk1rn1iSRi.PAw--~B/aD0xMDgwO3c9MTkyMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/thestreet.com/b9e722430d125d0958b03854d39608bd', 'width': 1920, 'height': 1080, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/HfdXFc.GwQqgVxJgBxkkxw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/thestreet.com/b9e722430d125d0958b03854d39608bd', 'width': 140, 'height': 140, 'tag': '140x140'}]}"
FOXA,4,915377ed-f046-3b4e-af66-821c8716a144,Dominion settlement could bolster shareholder lawsuit against Fox board members—and encourage more challenges,Fortune,https://finance.yahoo.com/news/dominion-settlement-could-bolster-shareholder-115326499.html,1682682806,STORY,['FOXA'],"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/PQnQ9CHsPfW2V6hPB7iCrw--~B/aD0xMzY1O3c9MjA0ODthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/fortune_175/aafa67d4990bbd8b7981275fbe7092de', 'width': 2048, 'height': 1365, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/Hsxd3jw6Itn4CX.vLS6HUw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/fortune_175/aafa67d4990bbd8b7981275fbe7092de', 'width': 140, 'height': 140, 'tag': '140x140'}]}"
FOXA,5,f6ca7405-2a21-34b6-8832-0b042be3f636,Column: Latest Fox shareholder suit targets ex-GOP leader Paul Ryan for oversight failures,Reuters,https://finance.yahoo.com/news/column-latest-fox-shareholder-suit-204535958.html,1682628335,STORY,['FOXA'],
FOXA,6,c0ae4d00-1c53-3939-98a0-3d4b40030333,Tucker Carlson Speaks Out in Twitter Video Two Days After His Ouster From Fox News,The Wall Street Journal,https://finance.yahoo.com/m/c0ae4d00-1c53-3939-98a0-3d4b40030333/tucker-carlson-speaks-out-in.html,1682599080,STORY,"['FOX', 'FOXA']","{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/pYff78gYz6BKPGbbBHWeqg--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/wsj.com/94a76a9bf39204d76103fbb2928225d0', 'width': 1280, 'height': 640, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/FM69KfoKrDbasvZXsLl8qA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/wsj.com/94a76a9bf39204d76103fbb2928225d0', 'width': 140, 'height': 140, 'tag': '140x140'}]}"
FOXA,7,bf9a6daa-7d51-3d3f-b71d-0734b19659e8,"Fired Tucker Carlson Reemerges With Twitter Tirade Against Media, Politics",Bloomberg,https://finance.yahoo.com/news/fired-tucker-carlson-reemerges-twitter-032928386.html,1682566168,STORY,['FOXA'],"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/D0oEiIhuSn.NQj.KUmGedg--~B/aD0xMzMzO3c9MjAwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/bloomberg_technology_68/075e7b27633f4ff99c028efc3e5248ff', 'width': 2000, 'height': 1333, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/ygunWnV_7LPJafcgnXcuww--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/bloomberg_technology_68/075e7b27633f4ff99c028efc3e5248ff', 'width': 140, 'height': 140, 'tag': '140x140'}]}"
