Symbol,index,uuid,title,publisher,link,providerPublishTime,type,thumbnail,relatedTickers
PYPL,0,014feb30-4e63-3e17-89ab-07f8b809ba55,"PayPal to Enable On-Chain Transfers From Venmo Accounts, Including to On-Chain Wallets",CoinDesk,https://finance.yahoo.com/news/paypal-enable-chain-transfers-venmo-161316974.html,1682698396,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/RHVHo8043lr01ynCPdqO8g--~B/aD0zMDI0O3c9NDAzMjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/coindesk_75/013f8df68894e8186c917775b26425a4', 'width': 4032, 'height': 3024, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/9OnDdnaEY_zDPs8RCjB72w--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/coindesk_75/013f8df68894e8186c917775b26425a4', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['PYPL']
PYPL,1,056cf8a2-b0e8-3cb4-a9ca-a34fbc4c18b4,New Venmo feature lets users transfer crypto to outside wallets—and to each other,Fortune,https://finance.yahoo.com/news/venmo-feature-lets-users-transfer-160000402.html,1682697600,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/_.faFelAh4u.2DhFYZ6wRQ--~B/aD0xMzY2O3c9MjA0ODthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/fortune_175/f98fa14678189189fb24a1cd6630e196', 'width': 2048, 'height': 1366, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/iSsh3aXK0UVmHCmL6KJFiQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/fortune_175/f98fa14678189189fb24a1cd6630e196', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['PYPL']
PYPL,2,66f1f031-ebf1-310d-89a5-3c2cdd8142af,Apple Pay Later won't affect us for years: Klarna CEO,Yahoo Finance Video,https://finance.yahoo.com/video/apple-pay-later-wont-affect-215601009.html,1682632561,VIDEO,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/2K0neynMBCXx1P6XnPcISg--~B/aD0xMDgwO3c9MTkyMDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2023-04/901c20a0-e545-11ed-bfb4-ca89937ce87c', 'width': 1920, 'height': 1080, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/7zkNLu70PptrbzfG4mLeTw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://s.yimg.com/os/creatr-uploaded-images/2023-04/901c20a0-e545-11ed-bfb4-ca89937ce87c', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['AAPL', 'PYPL']"
PYPL,3,e8b1348f-31b6-35e2-975e-16760387f3d6,11 Best Gig Economy Stocks To Invest In,Insider Monkey,https://finance.yahoo.com/news/11-best-gig-economy-stocks-180301589.html,1682618581,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/uqJEBJhKJaNNk.tqPJrIvA--~B/aD0xMjgwO3c9MTkyMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/insidermonkey.com/b90e4b3ee5b1ff4c7d21be6529a29eb6', 'width': 1920, 'height': 1280, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/2lFcy7i1j1iigCLCrtgqyQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/insidermonkey.com/b90e4b3ee5b1ff4c7d21be6529a29eb6', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['UPWK', 'FVRR', 'LYFT', 'UBER', 'DASH', 'PYPL']"
PYPL,4,e98314b4-e9aa-389f-a633-c33325b81f2a,Factors to Note Ahead of Paycom's (PAYC) Q1 Earnings Release,Zacks,https://finance.yahoo.com/news/factors-note-ahead-paycoms-payc-140502708.html,1682604302,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/xl0BaCLkhZZHK_B7kBAZJQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/57b04c7d2045e30707e0179045b0da10', 'width': 635, 'height': 400, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/Cs5vdKlYVw7jTjZO4iq46Q--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/zacks.com/57b04c7d2045e30707e0179045b0da10', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['PAYC', 'PYPL']"
PYPL,5,f36f3761-607e-3ac3-a6d1-88ae81dee6c3,2 High-Conviction Growth Stocks Billionaire Ken Griffin Is Buying Hand Over Fist,Motley Fool,https://finance.yahoo.com/m/f36f3761-607e-3ac3-a6d1-88ae81dee6c3/2-high-conviction-growth.html,1682588940,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/NVD1bN0cd5gv7tFE_lu0Sg--~B/aD0xNDE0O3c9MjEyMTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/9968aec39b48a19f019e9dc1ba2805e5', 'width': 2121, 'height': 1414, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/K8hbkXEClGUyT_Jh.TYlXA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/9968aec39b48a19f019e9dc1ba2805e5', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['PYPL', 'ADBE']"
PYPL,6,4f9fbbed-a6a3-3838-bf27-ce3b40de8743,Will Paypal (PYPL) Beat Estimates Again in Its Next Earnings Report?,Zacks,https://finance.yahoo.com/news/paypal-pypl-beat-estimates-again-161004830.html,1682525404,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/t6.OdXEVKQihFo9otNenfg--~B/aD01NjU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/4f1a8d86cead9f96536efb147945dcc9', 'width': 900, 'height': 565, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/k5cTNiJKtV5aggvBgwLXAQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/zacks.com/4f1a8d86cead9f96536efb147945dcc9', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['PYPL']
PYPL,7,d74a6659-0def-3de6-80f1-3ef7a7861e26,3 Fintech Stocks That Can Keep Growing Profit,Motley Fool,https://finance.yahoo.com/m/d74a6659-0def-3de6-80f1-3ef7a7861e26/3-fintech-stocks-that-can.html,1682518842,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/hSXzMzX59YEkkosUrYXNrQ--~B/aD0xMzQxO3c9MjIzNTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/8f13993da3753ce3b1f958f9cb83ea13', 'width': 2235, 'height': 1341, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/pUpQ2Mp_WnurR8G2RzUOiQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/8f13993da3753ce3b1f958f9cb83ea13', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['PYPL', 'SOFI', 'INTU']"
